sep=,
File.......: 2019-06-27_pp_rh00 - JUN;27.2019
System.....: pedotpss_rh
Potential..: 0.000V
Current....: -1.0425nA
Temperature: 0.0+-0.0C
Time.......: 17:31:01 - 17:40:18
Comment....: 
              
              
              
              Main
time: 0.16s
Measure samples:
Lines:   182
Columns: 3
Number,Frequency/Hz,Impedance/Ohm,Phase/deg
1,1.0000e+06,4.1108e+02,-54.84
2,9.2668e+05,4.3122e+02,-55.99
3,8.5874e+05,4.5158e+02,-56.99
4,7.9578e+05,4.7557e+02,-57.99
5,7.3744e+05,5.0062e+02,-59.16
6,6.8337e+05,5.2712e+02,-60.09
7,6.3327e+05,5.5576e+02,-61.17
8,5.8684e+05,5.8848e+02,-62.19
9,5.4381e+05,6.2249e+02,-62.91
10,5.0394e+05,6.6033e+02,-63.66
11,4.6699e+05,7.0323e+02,-64.57
12,4.3276e+05,7.5286e+02,-61.44
13,4.0103e+05,8.0009e+02,-62.40
14,3.7163e+05,8.5108e+02,-63.28
15,3.4438e+05,9.0536e+02,-64.07
16,3.1913e+05,9.6433e+02,-64.80
17,2.9573e+05,1.0273e+03,-65.45
18,2.7405e+05,1.0952e+03,-66.01
19,2.5396e+05,1.1682e+03,-66.52
20,2.3534e+05,1.2460e+03,-66.93
21,2.1808e+05,1.3301e+03,-67.28
22,2.0209e+05,1.4200e+03,-67.56
23,1.8728e+05,1.5165e+03,-67.77
24,1.7355e+05,1.6203e+03,-67.90
25,1.6082e+05,1.7330e+03,-67.96
26,1.4903e+05,1.8515e+03,-67.96
27,1.3811e+05,1.9775e+03,-67.87
28,1.2798e+05,2.1140e+03,-67.73
29,1.1860e+05,2.2585e+03,-67.19
30,1.0990e+05,2.4124e+03,-66.89
31,1.0184e+05,2.5755e+03,-66.50
32,9.4377e+04,2.7491e+03,-66.01
33,8.7458e+04,2.9336e+03,-65.43
34,8.1046e+04,3.1270e+03,-64.76
35,7.5104e+04,3.3307e+03,-64.02
36,6.9597e+04,3.5453e+03,-63.18
37,6.4495e+04,3.7706e+03,-62.25
38,5.9766e+04,4.0046e+03,-61.25
39,5.5384e+04,4.2487e+03,-60.21
40,5.1324e+04,4.5004e+03,-59.08
41,4.7561e+04,4.7602e+03,-57.86
42,4.4074e+04,5.0271e+03,-56.59
43,4.0842e+04,5.2989e+03,-55.25
44,3.7848e+04,5.5689e+03,-53.87
45,3.5073e+04,5.8479e+03,-52.45
46,3.2502e+04,6.1311e+03,-50.93
47,3.0119e+04,6.4159e+03,-49.15
48,2.7910e+04,6.6974e+03,-47.68
49,2.5864e+04,6.9810e+03,-44.44
50,2.3968e+04,7.2490e+03,-43.08
51,2.2211e+04,7.5116e+03,-41.74
52,2.0582e+04,7.7694e+03,-40.41
53,1.9073e+04,8.0227e+03,-39.09
54,1.7675e+04,8.2677e+03,-37.80
55,1.6379e+04,8.5095e+03,-36.59
56,1.5178e+04,8.7413e+03,-35.41
57,1.4065e+04,8.9687e+03,-34.25
58,1.3034e+04,9.1869e+03,-33.13
59,1.2078e+04,9.3989e+03,-32.05
60,1.1193e+04,9.6120e+03,-31.04
61,1.0372e+04,9.8076e+03,-30.08
62,9.6118e+03,1.0035e+04,-29.21
63,8.9071e+03,1.0221e+04,-28.35
64,8.2540e+03,1.0406e+04,-27.55
65,7.6489e+03,1.0592e+04,-26.90
66,7.0881e+03,1.0716e+04,-26.17
67,6.5684e+03,1.0888e+04,-25.54
68,6.0868e+03,1.1060e+04,-24.96
69,5.6406e+03,1.1238e+04,-24.44
70,5.2270e+03,1.1421e+04,-23.98
71,4.8438e+03,1.1597e+04,-23.55
72,4.4886e+03,1.1763e+04,-23.18
73,4.1596e+03,1.1920e+04,-22.85
74,3.8546e+03,1.2077e+04,-22.49
75,3.5720e+03,1.2229e+04,-22.24
76,3.3101e+03,1.2378e+04,-22.08
77,3.0674e+03,1.2525e+04,-21.96
78,2.8425e+03,1.2669e+04,-21.90
79,2.6341e+03,1.2807e+04,-21.90
80,2.4410e+03,1.2942e+04,-21.96
81,2.2620e+03,1.3076e+04,-22.08
82,2.0962e+03,1.3215e+04,-22.28
83,1.9425e+03,1.3323e+04,-22.45
84,1.8001e+03,1.3475e+04,-22.81
85,1.6681e+03,1.3626e+04,-23.20
86,1.5458e+03,1.3786e+04,-23.67
87,1.4325e+03,1.3957e+04,-24.19
88,1.3274e+03,1.4139e+04,-24.78
89,1.2301e+03,1.4335e+04,-25.44
90,1.1399e+03,1.4546e+04,-26.17
91,1.0564e+03,1.4772e+04,-26.96
92,9.7890e+02,1.5016e+04,-27.81
93,9.0713e+02,1.5277e+04,-28.68
94,8.4062e+02,1.5555e+04,-29.68
95,7.7899e+02,1.5853e+04,-30.73
96,7.2188e+02,1.6178e+04,-31.86
97,6.6895e+02,1.6535e+04,-33.02
98,6.1991e+02,1.6927e+04,-34.24
99,5.7446e+02,1.7353e+04,-35.51
100,5.3234e+02,1.7819e+04,-36.81
101,4.9331e+02,1.8332e+04,-38.12
102,4.5714e+02,1.8892e+04,-39.44
103,4.2363e+02,1.9501e+04,-40.79
104,3.9257e+02,2.0162e+04,-42.20
105,3.6379e+02,2.0882e+04,-43.62
106,3.3711e+02,2.1667e+04,-45.05
107,3.1240e+02,2.2523e+04,-46.47
108,2.8949e+02,2.3454e+04,-47.88
109,2.6827e+02,2.4466e+04,-49.28
110,2.4860e+02,2.5568e+04,-50.65
111,2.3037e+02,2.6769e+04,-51.95
112,2.1348e+02,2.8069e+04,-53.26
113,1.9783e+02,2.9470e+04,-54.54
114,1.8333e+02,3.0991e+04,-55.78
115,1.6989e+02,3.2630e+04,-56.99
116,1.5743e+02,3.4404e+04,-58.16
117,1.4589e+02,3.6314e+04,-59.28
118,1.3519e+02,3.8359e+04,-60.39
119,1.2528e+02,4.0562e+04,-61.44
120,1.1610e+02,4.2960e+04,-62.45
121,1.0758e+02,4.5518e+04,-63.41
122,9.9696e+01,4.8250e+04,-64.32
123,9.2386e+01,5.1210e+04,-65.22
124,8.5613e+01,5.4384e+04,-66.03
125,7.9336e+01,5.7783e+04,-66.84
126,7.3519e+01,6.1491e+04,-67.57
127,6.8129e+01,6.5354e+04,-68.33
128,6.3096e+01,6.9656e+04,-68.93
129,5.8434e+01,7.4301e+04,-69.59
130,5.4117e+01,7.8750e+04,-70.22
131,5.0119e+01,8.4027e+04,-70.79
132,4.6416e+01,8.9684e+04,-71.29
133,4.2987e+01,9.5702e+04,-71.78
134,3.9811e+01,1.0219e+05,-72.23
135,3.6869e+01,1.0911e+05,-72.65
136,3.4145e+01,1.1653e+05,-73.03
137,3.1623e+01,1.2438e+05,-73.43
138,2.9286e+01,1.3294e+05,-73.79
139,2.7123e+01,1.4200e+05,-74.12
140,2.5119e+01,1.5165e+05,-74.43
141,2.3263e+01,1.6201e+05,-74.70
142,2.1544e+01,1.7315e+05,-74.96
143,1.9953e+01,1.8507e+05,-75.18
144,1.8478e+01,1.9782e+05,-75.38
145,1.7113e+01,2.1143e+05,-75.60
146,1.5849e+01,2.2594e+05,-75.79
147,1.4678e+01,2.4142e+05,-75.94
148,1.3594e+01,2.5787e+05,-76.11
149,1.2589e+01,2.7546e+05,-76.27
150,1.1659e+01,2.9436e+05,-76.40
151,1.0798e+01,3.1487e+05,-76.49
152,1.0000e+01,3.3686e+05,-76.59
153,9.2612e+00,3.6032e+05,-76.68
154,8.5770e+00,3.8520e+05,-76.76
155,7.9433e+00,4.1184e+05,-76.83
156,7.3564e+00,4.4121e+05,-76.87
157,6.8129e+00,4.7162e+05,-76.94
158,6.3096e+00,5.0406e+05,-77.02
159,5.8434e+00,5.3847e+05,-77.09
160,5.4117e+00,5.7520e+05,-77.14
161,5.0119e+00,6.1518e+05,-77.17
162,4.6416e+00,6.5755e+05,-77.19
163,4.2987e+00,7.0256e+05,-77.21
164,3.9811e+00,7.5097e+05,-77.23
165,3.6869e+00,8.0580e+05,-76.92
166,3.4145e+00,8.6160e+05,-76.92
167,3.1623e+00,9.2145e+05,-76.92
168,2.9286e+00,9.8447e+05,-76.90
169,2.7123e+00,1.0513e+06,-76.87
170,2.5119e+00,1.1228e+06,-76.84
171,2.3263e+00,1.2013e+06,-76.83
172,2.1544e+00,1.2840e+06,-76.79
173,1.9953e+00,1.3708e+06,-76.73
174,1.8478e+00,1.4663e+06,-76.51
175,1.7113e+00,1.5678e+06,-76.52
176,1.5849e+00,1.6725e+06,-76.50
177,1.4678e+00,1.7895e+06,-76.38
178,1.3594e+00,1.9122e+06,-76.30
179,1.2589e+00,2.0426e+06,-76.20
180,1.1659e+00,2.1829e+06,-76.15
181,1.0798e+00,2.3367e+06,-76.03
182,1.0000e+00,2.4903e+06,-75.97
File.......:,2019-06-27_pp_rh01,-,JUN,27.2019
Current....:,-1.0275nA
Time.......:,17:46:01,-,17:55:18
time:,900.2s
Measure,samples:
Lines:,182
Columns:,3
Number,Frequency/Hz,Impedance/Ohm,Phase/deg
1,1.0000e+06,4.1272e+02,-55.00
2,9.2668e+05,4.3188e+02,-56.12
3,8.5874e+05,4.5332e+02,-57.15
4,7.9578e+05,4.7675e+02,-58.34
5,7.3744e+05,5.0137e+02,-59.44
6,6.8337e+05,5.2771e+02,-60.40
7,6.3327e+05,5.5703e+02,-61.42
8,5.8684e+05,5.8955e+02,-62.30
9,5.4381e+05,6.2280e+02,-63.26
10,5.0394e+05,6.6282e+02,-64.13
11,4.6699e+05,7.0524e+02,-64.91
12,4.3276e+05,7.5553e+02,-61.84
13,4.0103e+05,8.0271e+02,-62.82
14,3.7163e+05,8.5417e+02,-63.71
15,3.4438e+05,9.0867e+02,-64.54
16,3.1913e+05,9.6815e+02,-65.29
17,2.9573e+05,1.0315e+03,-65.98
18,2.7405e+05,1.1003e+03,-66.57
19,2.5396e+05,1.1735e+03,-67.09
20,2.3534e+05,1.2522e+03,-67.58
21,2.1808e+05,1.3369e+03,-67.96
22,2.0209e+05,1.4277e+03,-68.28
23,1.8728e+05,1.5258e+03,-68.55
24,1.7355e+05,1.6305e+03,-68.73
25,1.6082e+05,1.7433e+03,-68.83
26,1.4903e+05,1.8637e+03,-68.87
27,1.3811e+05,1.9931e+03,-68.86
28,1.2798e+05,2.1311e+03,-68.77
29,1.1860e+05,2.2793e+03,-68.32
30,1.0990e+05,2.4368e+03,-68.08
31,1.0184e+05,2.6046e+03,-67.77
32,9.4377e+04,2.7834e+03,-67.36
33,8.7458e+04,2.9734e+03,-66.87
34,8.1046e+04,3.1740e+03,-66.31
35,7.5104e+04,3.3864e+03,-65.65
36,6.9597e+04,3.6103e+03,-64.91
37,6.4495e+04,3.8466e+03,-64.07
38,5.9766e+04,4.0932e+03,-63.14
39,5.5384e+04,4.3507e+03,-62.19
40,5.1324e+04,4.6192e+03,-61.12
41,4.7561e+04,4.8970e+03,-59.98
42,4.4074e+04,5.1830e+03,-58.77
43,4.0842e+04,5.4768e+03,-57.49
44,3.7848e+04,5.7731e+03,-56.16
45,3.5073e+04,6.0799e+03,-54.76
46,3.2502e+04,6.3939e+03,-53.31
47,3.0119e+04,6.7112e+03,-51.52
48,2.7910e+04,7.0417e+03,-48.17
49,2.5864e+04,7.3485e+03,-46.81
50,2.3968e+04,7.6538e+03,-45.45
51,2.2211e+04,7.9557e+03,-44.07
52,2.0582e+04,8.2530e+03,-42.70
53,1.9073e+04,8.5455e+03,-41.33
54,1.7675e+04,8.8312e+03,-39.99
55,1.6379e+04,9.1096e+03,-38.69
56,1.5178e+04,9.3790e+03,-37.43
57,1.4065e+04,9.6424e+03,-36.18
58,1.3034e+04,9.8965e+03,-34.97
59,1.2078e+04,1.0142e+04,-33.81
60,1.1193e+04,1.0380e+04,-32.70
61,1.0372e+04,1.0610e+04,-31.65
62,9.6118e+03,1.0835e+04,-30.64
63,8.9071e+03,1.1052e+04,-29.70
64,8.2540e+03,1.1264e+04,-28.82
65,7.6489e+03,1.1463e+04,-28.07
66,7.0881e+03,1.1662e+04,-27.29
67,6.5684e+03,1.1854e+04,-26.57
68,6.0868e+03,1.2040e+04,-25.90
69,5.6406e+03,1.2222e+04,-25.28
70,5.2270e+03,1.2396e+04,-24.72
