date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-07-29_17-50-54,180.16,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-50-56,180.193,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-50-58,180.227,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-00,180.26,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-51-02,180.293,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-04,180.327,,,,,5.78,2.0,,,,,,,,pedotpss
2019-07-29_17-51-06,180.36,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-51-08,180.393,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-51-10,180.428,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-51-12,180.46,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-14,180.493,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-51-16,180.528,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-18,180.56,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-20,180.593,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-22,180.628,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-51-24,180.66,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-26,180.693,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-51-28,180.727,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-51-30,180.761,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-51-32,180.795,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-34,180.828,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-51-36,180.861,,,,,6.076,2.0,,,,,,,,pedotpss
2019-07-29_17-51-38,180.894,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-40,180.928,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-51-42,180.96,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-51-44,180.994,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-46,181.028,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-48,181.061,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-50,181.093,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-51-52,181.128,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-51-54,181.16,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-51-56,181.193,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-51-58,181.227,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-52-00,181.26,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-52-02,181.293,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-52-04,181.328,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-06,181.36,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-52-08,181.394,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-10,181.427,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-12,181.46,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-14,181.494,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-16,181.527,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-52-18,181.561,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-20,181.594,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-52-22,181.627,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-24,181.661,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-26,181.695,,,,,5.894,2.0,,,,,,,,pedotpss
2019-07-29_17-52-28,181.727,,,,,6.128,2.0,,,,,,,,pedotpss
2019-07-29_17-52-30,181.761,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-32,181.793,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-34,181.828,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-36,181.861,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-38,181.893,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-40,181.928,,,,,5.894,2.0,,,,,,,,pedotpss
2019-07-29_17-52-42,181.96,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-52-44,181.994,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-46,182.028,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-48,182.06,,,,,5.894,2.0,,,,,,,,pedotpss
2019-07-29_17-52-50,182.093,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-52-52,182.128,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-52-54,182.16,,,,,5.894,2.0,,,,,,,,pedotpss
2019-07-29_17-52-56,182.193,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-52-58,182.227,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-00,182.261,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-53-02,182.293,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-53-04,182.328,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-06,182.361,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-08,182.394,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-10,182.428,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-12,182.46,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-14,182.493,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-16,182.528,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-18,182.561,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-20,182.593,,,,,5.805,2.0,,,,,,,,pedotpss
2019-07-29_17-53-22,182.627,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-24,182.661,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-26,182.693,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-28,182.728,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-30,182.761,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-32,182.794,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-34,182.828,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-36,182.861,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-38,182.895,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-40,182.928,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-42,182.96,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-44,182.993,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-46,183.027,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-48,183.061,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-50,183.093,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-52,183.127,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-54,183.161,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-53-56,183.194,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-53-58,183.228,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-00,183.26,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-02,183.293,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-04,183.328,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-06,183.361,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-08,183.394,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-10,183.427,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-12,183.46,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-54-14,183.494,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-16,183.528,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-18,183.561,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-20,183.594,,,,,5.932,2.0,,,,,,,,pedotpss
2019-07-29_17-54-22,183.627,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-24,183.661,,,,,5.894,2.0,,,,,,,,pedotpss
2019-07-29_17-54-26,183.694,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-28,183.727,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-30,183.761,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-32,183.793,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-34,183.827,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-36,183.861,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-38,183.895,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-40,183.928,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-42,183.962,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-44,183.995,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-46,184.029,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-48,184.061,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-50,184.094,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-52,184.129,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-54,184.161,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-54-56,184.195,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-54-58,184.229,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-00,184.261,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-02,184.295,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-04,184.329,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-06,184.362,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-08,184.395,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-10,184.428,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-12,184.461,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-14,184.494,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-16,184.529,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-18,184.562,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-20,184.594,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-22,184.628,,,,,5.894,2.0,,,,,,,,pedotpss
2019-07-29_17-55-24,184.661,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-26,184.695,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-28,184.728,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-29_17-55-30,184.761,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-32,184.795,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-34,184.828,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-36,184.862,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-38,184.895,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-40,184.927,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-42,184.962,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-44,184.994,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-46,185.027,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-48,185.062,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-50,185.094,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-52,185.129,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-54,185.161,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-55-56,185.195,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-55-58,185.229,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-00,185.261,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-56-02,185.294,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-56-04,185.329,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-56-06,185.361,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-08,185.394,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-56-10,185.427,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-56-12,185.462,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-56-14,185.494,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-16,185.527,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-29_17-56-18,185.562,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-20,185.594,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-22,185.627,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-24,185.661,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-26,185.694,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-28,185.727,,,,,5.881,2.0,,,,,,,,pedotpss
2019-07-29_17-56-30,185.761,,,,,5.881,2.0,,,,,,,,pedotpss
