date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-07-31_15-33-34,79.579,,,,,5.83,2.0,,,,,4.166115e-09,5.167039055000001e-09,,pedotpss
2019-07-31_15-33-36,79.612,,,,,5.805,2.0,,,,,,,,pedotpss
2019-07-31_15-33-38,79.646,,,,,5.805,2.0,,,,,,,,pedotpss
2019-07-31_15-33-40,79.679,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-33-42,79.712,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-33-44,79.746,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-33-46,79.779,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-33-48,79.812,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-33-50,79.846,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-33-52,79.879,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-33-54,79.912,,,,,5.805,2.0,,,,,,,,pedotpss
2019-07-31_15-33-56,79.946,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-33-58,79.979,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-00,80.012,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-02,80.046,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-04,80.079,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-06,80.112,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-08,80.146,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-10,80.179,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-12,80.212,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-14,80.246,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-16,80.279,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-18,80.312,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-31_15-34-20,80.346,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-34-22,80.379,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-34-24,80.412,,,,,5.805,2.0,,,,,,,,pedotpss
2019-07-31_15-34-26,80.446,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-28,80.479,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-30,80.513,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-32,80.546,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-34,80.579,,,,,5.805,2.0,,,,,,,,pedotpss
2019-07-31_15-34-36,80.612,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-38,80.646,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-40,80.679,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-42,80.712,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-44,80.746,,,,,5.742,2.0,,,,,,,,pedotpss
2019-07-31_15-34-46,80.779,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-34-48,80.812,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-50,80.846,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-52,80.879,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-54,80.912,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-34-56,80.946,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-34-58,80.979,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-35-00,81.012,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-02,81.046,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-04,81.079,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-06,81.112,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-08,81.146,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-10,81.179,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-12,81.212,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-14,81.246,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-16,81.279,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-18,81.312,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-20,81.346,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-22,81.379,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-24,81.412,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-26,81.446,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-28,81.479,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-30,81.512,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-32,81.546,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-34,81.579,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-36,81.612,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-38,81.646,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-40,81.679,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-42,81.712,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-44,81.746,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-46,81.779,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-48,81.812,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-50,81.846,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-52,81.879,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-54,81.912,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-35-56,81.946,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-35-58,81.979,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-00,82.012,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-02,82.046,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-04,82.079,,,,,5.932,2.0,,,,,,,,pedotpss
2019-07-31_15-36-06,82.112,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-08,82.146,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-10,82.179,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-12,82.212,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-14,82.246,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-16,82.279,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-18,82.312,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-20,82.346,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-22,82.379,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-24,82.412,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-26,82.446,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-36-28,82.479,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-30,82.512,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-32,82.546,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-34,82.579,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-36,82.612,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-38,82.646,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-40,82.679,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-42,82.712,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-44,82.746,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-46,82.779,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-48,82.813,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-50,82.846,,,,,5.805,2.0,,,,,,,,pedotpss
2019-07-31_15-36-52,82.879,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-36-54,82.912,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-56,82.946,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-36-58,82.979,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-00,83.012,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-02,83.046,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-04,83.08,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-06,83.112,,,,,6.036,2.0,,,,,,,,pedotpss
2019-07-31_15-37-08,83.146,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-10,83.179,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-12,83.212,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-14,83.246,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-16,83.279,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-18,83.312,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-20,83.347,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-22,83.379,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-24,83.412,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-26,83.446,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-28,83.479,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-30,83.512,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-32,83.546,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-34,83.579,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-36,83.612,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-38,83.646,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-40,83.679,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-42,83.712,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-37-44,83.746,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-46,83.779,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-48,83.812,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-37-50,83.846,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-52,83.879,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-54,83.912,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-37-56,83.946,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-37-58,83.979,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-00,84.012,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-02,84.046,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-04,84.079,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-38-06,84.112,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-08,84.146,,,,,5.792,2.0,,,,,,,,pedotpss
2019-07-31_15-38-10,84.179,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-12,84.212,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-14,84.246,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-38-16,84.279,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-38-18,84.312,,,,,5.894,2.0,,,,,,,,pedotpss
2019-07-31_15-38-20,84.346,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-22,84.379,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-24,84.412,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-26,84.446,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-28,84.479,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-30,84.512,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-32,84.546,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-38-34,84.579,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-36,84.612,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-38,84.646,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-40,84.679,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-38-42,84.712,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-44,84.746,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-46,84.78,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-48,84.813,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-38-50,84.846,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-52,84.88,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-54,84.912,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-38-56,84.946,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-38-58,84.979,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-00,85.012,,,,,5.868,2.0,,,,,,,,pedotpss
2019-07-31_15-39-02,85.046,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-04,85.079,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-06,85.112,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-39-08,85.146,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-10,85.179,,,,,5.805,2.0,,,,,,,,pedotpss
2019-07-31_15-39-12,85.212,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-14,85.246,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-16,85.279,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-39-18,85.312,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-39-20,85.346,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-22,85.379,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-24,85.412,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-26,85.446,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-28,85.479,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-30,85.512,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-32,85.546,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-34,85.579,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-36,85.612,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-38,85.646,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-40,85.679,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-42,85.712,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-39-44,85.746,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-46,85.779,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-48,85.812,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-50,85.846,,,,,5.755,2.0,,,,,,,,pedotpss
2019-07-31_15-39-52,85.879,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-54,85.912,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-39-56,85.946,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-39-58,85.979,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-40-00,86.012,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-40-02,86.046,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-40-04,86.079,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-06,86.112,,,,,5.856,2.0,,,,,,,,pedotpss
2019-07-31_15-40-08,86.146,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-10,86.179,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-12,86.212,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-14,86.246,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-16,86.279,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-40-18,86.312,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-40-20,86.346,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-22,86.379,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-24,86.412,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-40-26,86.446,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-28,86.479,,,,,5.843,2.0,,,,,,,,pedotpss
2019-07-31_15-40-30,86.513,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-32,86.546,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-34,86.579,,,,,5.83,2.0,,,,,,,,pedotpss
2019-07-31_15-40-36,86.612,,,,,5.818,2.0,,,,,,,,pedotpss
2019-07-31_15-40-38,86.646,,,,,5.83,2.0,,,,,,,,pedotpss
