time,f_1,f_3,f_5,f_7,f_9,f_11,f_13,f_15,f_17,d_1,d_3,d_5,d_7,d_9,d_11,d_13,d_15,d_17
0,4954915,14849971,24748794,34649153,44546557,54443498,64341046,74237124,84135965,0.0011763499117330954,3.545160308190134e-05,6.461557995318055e-05,4.813252091659494e-05,6.73688210144781e-05,5.508814823242785e-05,6.151630404304828e-05,8.637969754648728e-05,0.00010496867638414943
1,4954920,14849986,24748773,34649178,44546647,54443533,64341086,74237169,84135714,0.0011729189323862782,3.60533946176965e-05,6.485128682363919e-05,4.7530557239490405e-05,6.779095491370505e-05,5.5011584890506435e-05,6.161579764029119e-05,8.601579411753377e-05,0.00010506759203219444
2,4954925,14849970,24748793,34649203,44546677,54443568,64341045,74237123,84136064,0.0011729531690135675,3.6548225993119485e-05,6.808917562145076e-05,4.780689414539206e-05,6.817704157749123e-05,5.493236735053343e-05,6.171379574782933e-05,8.583181798038321e-05,0.00010572197398090792
3,4954919,14849985,24748813,34649228,44546646,54443532,64341004,74237168,84136114,0.0,3.6580556672122615e-05,6.750119973682036e-05,4.7592679538048954e-05,6.838308737008809e-05,5.48015713622706e-05,6.167454216862978e-05,8.612597978159492e-05,0.00010586096214035185
4,4954924,14850030,24748833,34649253,44546615,54443567,64341044,74237213,84135863,0.0011708770098637655,3.931651517663815e-05,6.933799878670959e-05,4.74102613341077e-05,6.824763257879734e-05,5.4766296352550813e-05,6.1612788951982e-05,8.46017658570099e-05,0.00010636684958734877
5,4954918,14850045,24748893,34649278,44546645,54443602,64341164,74237258,84135913,0.0,3.46551631995617e-05,6.621781498528692e-05,4.710108281595449e-05,6.892933808916824e-05,5.473919455120743e-05,6.14989401738197e-05,8.458861704270855e-05,0.00010674334003726955
6,4954923,14850029,24748913,34649252,44546614,54443566,64340963,74237212,84136063,0.0011699781127307066,3.435527059112016e-05,6.835258945581589e-05,4.7404979949607336e-05,6.905156899507507e-05,5.4963341456902536e-05,6.158188587926711e-05,8.483029327956653e-05,0.00010628403364585515
7,4954928,14850013,24748852,34649277,44546644,54443601,64341163,74237166,84136012,0.0011721396962876785,3.788863300217411e-05,7.137132645618406e-05,4.789552474603896e-05,6.90851647620237e-05,5.478986605854402e-05,6.141408501750979e-05,8.425671028889373e-05,0.00010598710166639836
8,4954933,14850028,24748872,34649251,44546613,54443495,64341122,74237211,84135861,0.0011708875419929805,3.544582273972509e-05,7.235764477030624e-05,4.706915060828467e-05,6.91748442135001e-05,5.4815726324592006e-05,6.128334146874814e-05,8.437223463421483e-05,0.000106384997667453
9,4954927,14850043,24748851,34649276,44546582,54443530,64341081,74237075,84136011,0.001174208541847413,3.4381798935373454e-05,7.147766937625005e-05,4.7558033161381804e-05,6.94197900621419e-05,5.4902043144335906e-05,6.146698543370507e-05,8.426675709269393e-05,0.00010704650025534978
10,4954921,14850058,24747910,34648300,44545651,54442374,64339600,74236129,84133359,0.0,3.505114625846357e-05,9.47652574243197e-05,5.332117747431803e-05,6.119567182142081e-05,6.259663041973335e-05,6.594848404759058e-05,0.00010676735347372615,0.00011629356609654623
11,4954725,14848962,24746889,34648024,44545380,54442268,64339319,74235813,84132708,0.00122290002888237,5.42193963468834e-05,0.00020970200491904863,5.7601756926231945e-05,6.0965015642682086e-05,6.202380184709936e-05,6.769503865215259e-05,0.0001050258619670623,0.00012092610783493491
12,4954699,14848796,24746548,34647948,44545229,54442092,64339198,74235948,84133058,0.0,5.3125714527318305e-05,0.0002656968636766653,5.956634931095367e-05,6.156188175098116e-05,6.161174755543292e-05,6.845542338951027e-05,0.0001039943436980003,0.00012343690523213224
13,4954683,14848720,24746447,34647922,44545198,54441986,64338997,74235902,84132707,0.0,5.4920760494645254e-05,0.00028794933439025606,6.0152517751383e-05,6.189357612994635e-05,6.135540245137237e-05,6.879290385659726e-05,0.00010360520804415964,0.00012477685761205318
14,4954667,14848614,24746306,34647846,44545107,54441950,64339037,74235856,84132757,0.001173144291198096,5.6936172484037536e-05,0.00030626428692716903,6.07176349252205e-05,6.286571111139121e-05,6.113250403065358e-05,6.947797621308479e-05,0.00010282524307927206,0.0001261045421950063
15,4954672,14848629,24748967,34646820,44544056,54440444,64336915,74232839,84134107,0.001172771195660527,5.6738351314201306e-05,0.0002830090217613364,6.926947522441955e-05,7.473096488701563e-05,6.913338444968573e-05,0.00010253843810733235,0.00012929411932054407,0.00016025721978142623
