date,time,pressure,pressure_setpoint,mfc1_Ar,mfc2_Ar,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2019-08-01_15-49-02,8.834,,,,,5.881,2.0,,,,6.36697e-09,,,,pedotpss
2019-08-01_15-49-04,8.867,,,,,5.881,2.0,,,,,,,,pedotpss
2019-08-01_15-49-06,8.901,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-08,8.934,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-10,8.967,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-12,9.0,,,,,5.907,2.0,,,,,,,,pedotpss
2019-08-01_15-49-14,9.034,,,,,5.92,2.0,,,,,,,,pedotpss
2019-08-01_15-49-16,9.068,,,,,5.881,2.0,,,,,,,,pedotpss
2019-08-01_15-49-18,9.101,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-20,9.134,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-22,9.167,,,,,5.881,2.0,,,,,,,,pedotpss
2019-08-01_15-49-24,9.201,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-26,9.234,,,,,5.868,2.0,,,,,,,,pedotpss
2019-08-01_15-49-28,9.267,,,,,5.92,2.0,,,,,,,,pedotpss
2019-08-01_15-49-30,9.301,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-32,9.335,,,,,5.881,2.0,,,,,,,,pedotpss
2019-08-01_15-49-34,9.367,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-36,9.401,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-38,9.435,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-40,9.467,,,,,5.907,2.0,,,,,,,,pedotpss
2019-08-01_15-49-42,9.5,,,,,5.868,2.0,,,,,,,,pedotpss
2019-08-01_15-49-44,9.535,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-46,9.567,,,,,5.894,2.0,,,,,,,,pedotpss
2019-08-01_15-49-48,9.601,,,,,5.907,2.0,,,,,,,,pedotpss
2019-08-01_15-49-50,9.634,,,,,5.907,2.0,,,,,,,,pedotpss
