date,time,pressure,pressure_setpoint,mfc1_,mfc2_,rh,rh_setpoint,temp,bias,current,max_iv_current,max_cv_current,cv_area,low_freq_z,note
2020-03-17_13-21-13,17.19,,,,,4.827,2.0,,,,,,,86612000.0,cupcts
2020-03-17_13-21-15,17.223,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-17,17.258,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-19,17.292,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-21-21,17.325,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-23,17.359,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-21-25,17.393,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-21-27,17.426,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-29,17.459,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-21-31,17.494,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-33,17.527,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-35,17.559,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-37,17.594,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-39,17.626,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-21-41,17.659,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-43,17.693,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-21-45,17.727,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-21-47,17.76,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-49,17.795,,,,,4.979,2.0,,,,,,,,cupcts
2020-03-17_13-21-51,17.828,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-53,17.861,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-21-55,17.895,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-21-57,17.928,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-21-59,17.961,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-22-01,17.994,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-22-03,18.028,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-22-05,18.06,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-07,18.095,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-09,18.128,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-22-11,18.162,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-13,18.196,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-15,18.23,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-22-17,18.263,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-22-19,18.296,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-22-21,18.33,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-22-23,18.363,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-25,18.396,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-27,18.43,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-22-29,18.463,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-22-31,18.496,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-33,18.53,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-35,18.563,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-22-37,18.596,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-22-39,18.629,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-41,18.663,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-22-43,18.696,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-45,18.729,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-22-47,18.762,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-22-49,18.797,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-51,18.831,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-53,18.864,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-22-55,18.898,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-57,18.931,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-22-59,18.964,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-23-01,18.998,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-03,19.032,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-23-05,19.066,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-07,19.099,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-09,19.132,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-11,19.166,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-23-13,19.199,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-23-15,19.233,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-17,19.266,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-19,19.299,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-21,19.333,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-23,19.366,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-25,19.399,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-27,19.433,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-29,19.467,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-31,19.501,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-33,19.535,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-35,19.569,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-37,19.602,,,,,4.881,2.0,,,,,,,,cupcts
2020-03-17_13-23-39,19.635,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-41,19.668,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-43,19.701,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-45,19.735,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-47,19.769,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-49,19.802,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-51,19.835,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-53,19.868,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-23-55,19.901,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-23-57,19.935,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-23-59,19.969,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-01,20.002,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-03,20.035,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-05,20.069,,,,,4.838,2.0,,,,,,,,cupcts
2020-03-17_13-24-07,20.101,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-09,20.134,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-11,20.168,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-13,20.202,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-15,20.235,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-17,20.268,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-24-19,20.302,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-21,20.335,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-23,20.368,,,,,5.113,2.0,,,,,,,,cupcts
2020-03-17_13-24-25,20.402,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-27,20.436,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-29,20.47,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-31,20.503,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-33,20.536,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-35,20.569,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-37,20.603,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-39,20.636,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-41,20.67,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-43,20.702,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-45,20.736,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-47,20.769,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-49,20.803,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-51,20.836,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-53,20.87,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-24-55,20.903,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-57,20.936,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-24-59,20.97,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-01,21.003,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-03,21.037,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-05,21.07,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-07,21.103,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-09,21.136,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-11,21.169,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-13,21.203,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-15,21.237,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-17,21.27,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-19,21.303,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-21,21.337,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-24,21.371,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-26,21.405,,,,,4.892,2.0,,,,,,,,cupcts
2020-03-17_13-25-28,21.439,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-30,21.472,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-32,21.506,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-34,21.538,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-36,21.572,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-25-38,21.606,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-40,21.639,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-25-42,21.673,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-44,21.706,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-46,21.739,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-48,21.773,,,,,4.881,2.0,,,,,,,,cupcts
2020-03-17_13-25-50,21.806,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-25-52,21.839,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-54,21.872,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-25-56,21.906,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-25-58,21.939,,,,,4.924,2.0,,,,,,,,cupcts
2020-03-17_13-26-00,21.973,,,,,4.849,2.0,,,,,,,,cupcts
2020-03-17_13-26-02,22.006,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-04,22.039,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-06,22.073,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-08,22.105,,,,,4.87,2.0,,,,,,,,cupcts
2020-03-17_13-26-10,22.139,,,,,4.859,2.0,,,,,,,,cupcts
2020-03-17_13-26-12,22.172,,,,,4.849,2.0,,,,,,,,cupcts
